id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_score,tmdb_popularity,on_amazon,on_apple,on_disney,on_hbo,on_netflix,on_paramount
tm100957,Sing Sing Nights,MOVIE,1934,,60,"['crime', 'drama', 'romance', 'war']",['US'],5.0,1.395,1.0,,,,,
tm100965,High Society,MOVIE,1956,,111,"['romance', 'comedy', 'music']",['US'],6.9,14.89,,,,1.0,,
tm1009800,Amalia in the Fall,MOVIE,2020,,75,"['drama', 'european']",['ES'],4.9,0.6,1.0,,,,,
tm1009813,Kombu,MOVIE,2020,PG-13,111,['thriller'],['IN'],4.6,0.6,1.0,,,,,
tm1009913,The Demon's Waltz,MOVIE,2021,,116,['horror'],[],5.2,1.176,1.0,,,,,
tm1009957,Damien,MOVIE,2021,,88,"['documentation', 'comedy', 'horror']",['US'],7.2,,1.0,,,,,
tm100997,Of Human Bondage,MOVIE,1934,,83,"['drama', 'romance']",['US'],7.0,5.776,1.0,,,,,1.0
tm101000,Our Daily Bread,MOVIE,1934,,80,"['romance', 'drama']",['US'],7.0,3.615,1.0,,,,,1.0
tm10104,The Return of Eliot Ness,MOVIE,1991,,94,"['crime', 'drama']",['US'],6.0,1.71,1.0,,,,,
tm101053,The Last Airbender,MOVIE,2010,PG,103,"['fantasy', 'action', 'family']",['US'],4.0,46.786,,,,1.0,,
tm101055,Coach of the Year,MOVIE,1980,,90,['drama'],['US'],5.1,0.672,1.0,,,,,
tm1010577,Chris Gethard: Half My Life,MOVIE,2021,,60,"['comedy', 'documentation']",[],8.1,1.583,1.0,,,,,
tm1010682,Boycie in Belgrade,MOVIE,2021,,79,['documentation'],"['RS', 'GB']",7.1,1.551,1.0,,,,,
tm101073,Killers,MOVIE,2010,PG-13,100,"['action', 'thriller', 'romance', 'comedy']",['US'],5.4,19.11,,,,1.0,,
tm1011095,El mundo fuera,MOVIE,2020,,66,['documentation'],[],6.4,,1.0,,,,,
tm1011132,Is Mindfulness Right for You?,MOVIE,2021,,81,['documentation'],['US'],6.5,3.107,1.0,,,,,
tm1011188,Meskina,MOVIE,2021,,98,"['comedy', 'romance']",['NL'],5.6,4.612,,,,,1.0,
tm1011235,Scenes from an Empty Church,MOVIE,2021,,98,"['drama', 'comedy']",[],6.0,1.252,1.0,,,,,
tm1011248,30 March,MOVIE,2021,,99,"['crime', 'drama', 'thriller']",[],4.0,,,,,,1.0,
tm1011734,Bheemante Vazhi,MOVIE,2021,,115,"['comedy', 'drama']",['IN'],6.4,2.94,1.0,,,,,
